chart_year,position,song_name,artist_name,source_title,song_key,artist_key,song_name_clean,resolved_artist_identity,resolved_artist_id,resolved_artist_name,artist_resolution,artist_key_simplified
1960,19,Dead or Alive,Bill Anderson,1960 in country music,dead or alive,bill anderson,Dead or Alive,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1964,14,Easy Come – Easy Go,Bill Anderson,1964 in country music,easy come easy go,bill anderson,Easy Come – Easy Go,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1974,7,Every Time I Turn the Radio On,Bill Anderson,1974 in country music,every time i turn the radio on,bill anderson,Every Time I Turn the Radio On,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1964,5,Five Little Fingers,Bill Anderson,1964 in country music,five little fingers,bill anderson,Five Little Fingers,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1964,8,Me,Bill Anderson,1964 in country music,me,bill anderson,Me,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1959,13,Ninety-Nine,Bill Anderson,1959 in country music,ninety nine,bill anderson,Ninety-Nine,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1959,12,That's What It's Like to Be Lonesome,Bill Anderson,1959 in country music,that s what it s like to be lonesome,bill anderson,That's What It's Like to Be Lonesome,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1960,7,The Tip of My Fingers,Bill Anderson,1960 in country music,the tip of my fingers,bill anderson,The Tip of My Fingers,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
1959,15,Gotta Travel On,Bill Monroe,1959 in country music,gotta travel on,bill monroe,Gotta Travel On,id:artist_001202,artist_001202,Bill Monroe,existing_artist,bill monroe
1974,3,Sweet Magnolia Blossom,"Billy ""Crash"" Craddock",1974 in country music,sweet magnolia blossom,billy crash craddock,Sweet Magnolia Blossom,id:artist_001947,artist_001947,"Billy ""Crash"" Craddock",existing_artist,billy crash craddock
2009,2,Don't,Billy Currington,2009 in country music,don t,billy currington,Don't,id:artist_000155,artist_000155,Billy Currington,existing_artist,billy currington
2015,4,Don't It,Billy Currington,2015 in country music,don t it,billy currington,Don't It,id:artist_000155,artist_000155,Billy Currington,existing_artist,billy currington
2007,1,Good Directions,Billy Currington,2007 in country music,good directions,billy currington,Good Directions,id:artist_000155,artist_000155,Billy Currington,existing_artist,billy currington
2016,3,It Don't Hurt Like It Used To,Billy Currington,2016 in country music,it don t hurt like it used to,billy currington,It Don't Hurt Like It Used To,id:artist_000155,artist_000155,Billy Currington,existing_artist,billy currington
2011,1,Let Me Down Easy,Billy Currington,2011 in country music,let me down easy,billy currington,Let Me Down Easy,id:artist_000155,artist_000155,Billy Currington,existing_artist,billy currington
2009,1,People Are Crazy,Billy Currington,2009 in country music,people are crazy,billy currington,People Are Crazy,id:artist_000155,artist_000155,Billy Currington,existing_artist,billy currington
1991,3,Only Here for a Little While,Billy Dean,1991 in country music,only here for a little while,billy dean,Only Here for a Little While,id:artist_001945,artist_001945,Billy Dean,existing_artist,billy dean
1991,3,Somewhere in My Broken Heart,Billy Dean,1991 in country music,somewhere in my broken heart,billy dean,Somewhere in My Broken Heart,id:artist_001945,artist_001945,Billy Dean,existing_artist,billy dean
1994,9,We Just Disagree,Billy Dean,1994 in country music,we just disagree,billy dean,We Just Disagree,id:artist_001945,artist_001945,Billy Dean,existing_artist,billy dean
1991,4,You Don't Count the Cost,Billy Dean,1991 in country music,you don t count the cost,billy dean,You Don't Count the Cost,id:artist_001945,artist_001945,Billy Dean,existing_artist,billy dean
1959,5,Gotta Travel On,Billy Grammer,1959 in country music,gotta travel on,billy grammer,Gotta Travel On,id:artist_000163,artist_000163,Billy Grammer,existing_artist,billy grammer
2008,4,"Ready, Set, Don't Go",Billy Ray Cyrus with Miley Cyrus,2008 in country music,ready set don t go,billy ray cyrus with miley cyrus,"Ready, Set, Don't Go",id:artist_000736,artist_000736,Billy Ray Cyrus,existing_artist,billy ray cyrus
1964,7,Circumstances,Billy Walker,1964 in country music,circumstances,billy walker,Circumstances,id:artist_001513,artist_001513,Billy Walker (musician),existing_artist,billy walker
1964,2,Cross the Brazos at Waco,Billy Walker,1964 in country music,cross the brazos at waco,billy walker,Cross the Brazos at Waco,id:artist_001513,artist_001513,Billy Walker (musician),existing_artist,billy walker
1960,19,I Wish You Love,Billy Walker,1960 in country music,i wish you love,billy walker,I Wish You Love,id:artist_001513,artist_001513,Billy Walker (musician),existing_artist,billy walker
1957,12,On My Mind Again,Billy Walker,Billboard Top Country & Western Records of 1957,on my mind again,billy walker,On My Mind Again,id:artist_001513,artist_001513,Billy Walker (musician),existing_artist,billy walker
2001,1,Austin,Blake Shelton,2001 in country music,austin,blake shelton,Austin,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2014,3,Doin' What She Likes,Blake Shelton,2014 in country music,doin what she likes,blake shelton,Doin' What She Likes,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2007,12,Don't Make Me,Blake Shelton,2007 in country music,don t make me,blake shelton,Don't Make Me,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2011,1,God Gave Me You,Blake Shelton,2011 in country music,god gave me you,blake shelton,God Gave Me You,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2019,1,God's Country,Blake Shelton,2019 in country music,god s country,blake shelton,God's Country,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2008,1,Home,Blake Shelton,2008 in country music,home,blake shelton,Home,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2011,1,Honey Bee,Blake Shelton,2011 in country music,honey bee,blake shelton,Honey Bee,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2009,8,I'll Just Hold On,Blake Shelton,2009 in country music,i ll just hold on,blake shelton,I'll Just Hold On,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2015,3,Sangria,Blake Shelton,2015 in country music,sangria,blake shelton,Sangria,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2009,1,She Wouldn't Be Gone,Blake Shelton,2009 in country music,she wouldn t be gone,blake shelton,She Wouldn't Be Gone,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2016,8,She's Got a Way with Words,Blake Shelton,2016 in country music,she s got a way with words,blake shelton,She's Got a Way with Words,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2011,1,Who Are You When I'm Not Looking,Blake Shelton,2011 in country music,who are you when i m not looking,blake shelton,Who Are You When I'm Not Looking,id:artist_001531,artist_001531,Blake Shelton,existing_artist,blake shelton
2019,1,The Git Up,Blanco Brown,2019 in country music,the git up,blanco brown,The Git Up,id:artist_001533,artist_001533,Blanco Brown,existing_artist,blanco brown
1959,18,You Take the Table and I'll Take the Chairs,Bob Gallion,1959 in country music,you take the table and i ll take the chairs,bob gallion,You Take the Table and I'll Take the Chairs,id:artist_000958,artist_000958,Bob Gallion,existing_artist,bob gallion
1960,9,Let's Think About Living,Bob Luman,1960 in country music,let s think about living,bob luman,Let's Think About Living,id:artist_001781,artist_001781,Bob Luman,existing_artist,bob luman
1974,7,Still Loving You,Bob Luman,1974 in country music,still loving you,bob luman,Still Loving You,id:artist_001781,artist_001781,Bob Luman,existing_artist,bob luman
1948,16,"Bubbles in My Beer""[5]",Bob Wills and His Texas Playboys,1948 in country music,bubbles in my beer,bob wills and his texas playboys,Bubbles in My Beer,id:artist_002093,artist_002093,Bob Wills,existing_artist,bob wills
1946,17,"Stay A Little Longer""[5]",Bob Wills and His Texas Playboys,1946 in country music,stay a little longer,bob wills and his texas playboys,Stay A Little Longer,id:artist_002093,artist_002093,Bob Wills,existing_artist,bob wills
1947,7,Sugar Moon,Bob Wills and His Texas Playboys,1947 in country music,sugar moon,bob wills and his texas playboys,Sugar Moon,id:artist_002093,artist_002093,Bob Wills,existing_artist,bob wills
1947,13,"Sugar Moon""[11]",Bob Wills and His Texas Playboys,1947 in country music,sugar moon,bob wills and his texas playboys,Sugar Moon,id:artist_002093,artist_002093,Bob Wills,existing_artist,bob wills
1946,5,White Cross on Okinawa,Bob Wills and His Texas Playboys,1946 in country music,white cross on okinawa,bob wills and his texas playboys,White Cross on Okinawa,id:artist_002093,artist_002093,Bob Wills,existing_artist,bob wills
1964,5,500 Miles Away from Home,Bobby Bare,1964 in country music,500 miles away from home,bobby bare,500 Miles Away from Home,id:artist_001495,artist_001495,Bobby Bare,existing_artist,bobby bare
1964,4,Miller's Cave,Bobby Bare,1964 in country music,miller s cave,bobby bare,Miller's Cave,id:artist_001495,artist_001495,Bobby Bare,existing_artist,bobby bare
1958,14,Splish Splash,Bobby Darin,1958 in country music,splish splash,bobby darin,Splish Splash,id:artist_001418,artist_001418,Bobby Darin,existing_artist,bobby darin
1957,1,Fraulein,Bobby Helms,Billboard Top Country & Western Records of 1957,fraulein,bobby helms,Fraulein,id:artist_001952,artist_001952,Bobby Helms,existing_artist,bobby helms
1957,1,My Special Angel,Bobby Helms,Billboard Top Country & Western Records of 1957,my special angel,bobby helms,My Special Angel,id:artist_001952,artist_001952,Bobby Helms,existing_artist,bobby helms
1994,4,She'd Give Anything,Boy Howdy,1994 in country music,she d give anything,boy howdy,She'd Give Anything,id:artist_002140,artist_002140,Boy Howdy,existing_artist,boy howdy
1994,2,They Don't Make 'Em Like That Anymore,Boy Howdy,1994 in country music,they don t make em like that anymore,boy howdy,They Don't Make 'Em Like That Anymore,id:artist_002140,artist_002140,Boy Howdy,existing_artist,boy howdy
2008,1,I'm Still a Guy,Brad Paisley,2008 in country music,i m still a guy,brad paisley,I'm Still a Guy,id:artist_000166,artist_000166,Brad Paisley,existing_artist,brad paisley
2007,1,She's Everything,Brad Paisley,2007 in country music,she s everything,brad paisley,She's Everything,id:artist_000166,artist_000166,Brad Paisley,existing_artist,brad paisley
2025,12,Hard Fought Hallelujah,Brandon Lake featuring Jelly Roll,2025 in country music,hard fought hallelujah,brandon lake featuring jelly roll,Hard Fought Hallelujah,id:artist_001486,artist_001486,Brandon Lake,existing_artist,brandon lake
2014,19,17 Again,Brantley Gilbert,2014 in country music,17 again,brantley gilbert,17 Again,id:artist_000973,artist_000973,Brantley Gilbert,existing_artist,brantley gilbert
2014,1,Bottoms Up,Brantley Gilbert,2014 in country music,bottoms up,brantley gilbert,Bottoms Up,id:artist_000973,artist_000973,Brantley Gilbert,existing_artist,brantley gilbert
2014,18,My Baby's Guns N' Roses,Brantley Gilbert,2014 in country music,my baby s guns n roses,brantley gilbert,My Baby's Guns N' Roses,id:artist_000973,artist_000973,Brantley Gilbert,existing_artist,brantley gilbert
2015,5,One Hell of an Amen,Brantley Gilbert,2015 in country music,one hell of an amen,brantley gilbert,One Hell of an Amen,id:artist_000973,artist_000973,Brantley Gilbert,existing_artist,brantley gilbert
2012,1,You Don't Know Her Like I Do,Brantley Gilbert,2012 in country music,you don t know her like i do,brantley gilbert,You Don't Know Her Like I Do,id:artist_000973,artist_000973,Brantley Gilbert,existing_artist,brantley gilbert
2014,13,Small Town Throwdown,Brantley Gilbert featuring Justin Moore and Thomas Rhett,2014 in country music,small town throwdown,brantley gilbert featuring justin moore and thomas rhett,Small Town Throwdown,id:artist_000973,artist_000973,Brantley Gilbert,existing_artist,brantley gilbert
2014,6,Beat of the Music,Brett Eldredge,2014 in country music,beat of the music,brett eldredge,Beat of the Music,id:artist_000135,artist_000135,Brett Eldredge,existing_artist,brett eldredge
2013,5,Don't Ya,Brett Eldredge,2013 in country music,don t ya,brett eldredge,Don't Ya,id:artist_000135,artist_000135,Brett Eldredge,existing_artist,brett eldredge
2016,2,Drunk on Your Love,Brett Eldredge,2016 in country music,drunk on your love,brett eldredge,Drunk on Your Love,id:artist_000135,artist_000135,Brett Eldredge,existing_artist,brett eldredge
2019,9,Love Someone,Brett Eldredge,2019 in country music,love someone,brett eldredge,Love Someone,id:artist_000135,artist_000135,Brett Eldredge,existing_artist,brett eldredge
2020,5,Catch,Brett Young,2020 in country music,catch,brett young,Catch,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
2019,2,Here Tonight,Brett Young,2019 in country music,here tonight,brett young,Here Tonight,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
2021,7,”Lady”,Brett Young,2021 in country music,lady,brett young,Lady,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
2018,3,Like I Loved You,Brett Young,2018 in country music,like i loved you,brett young,Like I Loved You,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
2018,2,Mercy,Brett Young,2018 in country music,mercy,brett young,Mercy,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
2016,3,Sleep Without You,Brett Young,2016 in country music,sleep without you,brett young,Sleep Without You,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
2023,18,You Didn't,Brett Young,2023 in country music,you didn t,brett young,You Didn't,id:artist_000040,artist_000040,Brett Young,existing_artist,brett young
1974,10,Statue of a Fool,Brian Collins,1974 in country music,statue of a fool,brian collins,Statue of a Fool,id:artist_001551,artist_001551,Brian Collins,existing_artist,brian collins
2001,1,Ain't Nothing 'bout You,Brooks & Dunn,2001 in country music,ain t nothing bout you,brooks dunn,Ain't Nothing 'bout You,id:artist_001314,artist_001314,Brooks & Dunn,existing_artist,brooks and dunn
1998,2,He's Got You,Brooks & Dunn,1998 in country music,he s got you,brooks dunn,He's Got You,id:artist_001314,artist_001314,Brooks & Dunn,existing_artist,brooks and dunn
1994,1,She's Not the Cheatin' Kind,Brooks & Dunn,1994 in country music,she s not the cheatin kind,brooks dunn,She's Not the Cheatin' Kind,id:artist_001314,artist_001314,Brooks & Dunn,existing_artist,brooks and dunn
1994,1,That Ain't No Way to Go,Brooks & Dunn,1994 in country music,that ain t no way to go,brooks dunn,That Ain't No Way to Go,id:artist_001314,artist_001314,Brooks & Dunn,existing_artist,brooks and dunn
2009,2,Cowgirls Don't Cry,Brooks & Dunn featuring Reba McEntire,2009 in country music,cowgirls don t cry,brooks dunn featuring reba mcentire,Cowgirls Don't Cry,id:artist_001314,artist_001314,Brooks & Dunn,existing_artist,brooks and dunn
1998,16,One Small Miracle,Bryan White,1998 in country music,one small miracle,bryan white,One Small Miracle,id:artist_001972,artist_001972,Bryan White,existing_artist,bryan white
1974,6,(It's A) Monster's Holiday,Buck Owens,1974 in country music,monster s holiday,buck owens,(It's A) Monster's Holiday,id:artist_001502,artist_001502,Buck Owens,existing_artist,buck owens
1960,3,Above and Beyond,Buck Owens,1960 in country music,above and beyond,buck owens,Above and Beyond,id:artist_001502,artist_001502,Buck Owens,existing_artist,buck owens
1974,8,Big Game Hunter,Buck Owens,1974 in country music,big game hunter,buck owens,Big Game Hunter,id:artist_001502,artist_001502,Buck Owens,existing_artist,buck owens
1974,9,On the Cover of the Music City News,Buck Owens,1974 in country music,on the cover of the music city news,buck owens,On the Cover of the Music City News,id:artist_001502,artist_001502,Buck Owens,existing_artist,buck owens
2007,6,A Different World,Bucky Covington,2007 in country music,a different world,bucky covington,A Different World,id:artist_000800,artist_000800,Bucky Covington,existing_artist,bucky covington
2008,10,I'll Walk,Bucky Covington,2008 in country music,i ll walk,bucky covington,I'll Walk,id:artist_000800,artist_000800,Bucky Covington,existing_artist,bucky covington
2008,11,It's Good to Be Us,Bucky Covington,2008 in country music,it s good to be us,bucky covington,It's Good to Be Us,id:artist_000800,artist_000800,Bucky Covington,existing_artist,bucky covington
1952,2,Wild Side of Life,Burl Ives,Billboard Top Country & Western Records of 1952,wild side of life,burl ives,Wild Side of Life,id:artist_001166,artist_001166,Burl Ives,existing_artist,burl ives
1974,19,Old Home Filler-Up an' Keep On-a-Truckin' Cafe,C. W. McCall,1974 in country music,old home filler up an keep on a truckin cafe,c w mccall,Old Home Filler-Up an' Keep On-a-Truckin' Cafe,id:artist_000459,artist_000459,C. W. McCall,existing_artist,c w mccall
1974,11,Between Lust and Watching TV,Cal Smith,1974 in country music,between lust and watching tv,cal smith,Between Lust and Watching TV,id:artist_000461,artist_000461,Cal Smith,existing_artist,cal smith
1974,2,Country Bumpkin,Cal Smith,1974 in country music,country bumpkin,cal smith,Country Bumpkin,id:artist_000461,artist_000461,Cal Smith,existing_artist,cal smith
2021,30,It's 'Cause I Am,Callista Clark,2021 in country music,it s cause i am,callista clark,It's 'Cause I Am,id:artist_001361,artist_001361,Callista Clark,existing_artist,callista clark
2015,6,Love You Like That,Canaan Smith,2015 in country music,love you like that,canaan smith,Love You Like That,id:artist_000982,artist_000982,Canaan Smith,existing_artist,canaan smith
1959,9,Am I That Easy to Forget,Carl Belew,1959 in country music,am i that easy to forget,carl belew,Am I That Easy to Forget,id:artist_000983,artist_000983,Carl Belew,existing_artist,carl belew
1960,19,Too Much to Lose,Carl Belew,1960 in country music,too much to lose,carl belew,Too Much to Lose,id:artist_000983,artist_000983,Carl Belew,existing_artist,carl belew
1956,2,Blue Suede Shoes,Carl Perkins,Billboard Top Country & Western Records of 1956,blue suede shoes,carl perkins,Blue Suede Shoes,id:artist_000824,artist_000824,Carl Perkins,existing_artist,carl perkins
1952,1,(When You Feel Like You're in Love) Don't Just Stand There,Carl Smith,Billboard Top Country & Western Records of 1952,don t just stand there,carl smith,(When You Feel Like You're in Love) Don't Just Stand There,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1952,1,Are You Teasing Me,Carl Smith,Billboard Top Country & Western Records of 1952,are you teasing me,carl smith,Are You Teasing Me,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1954,2,Back Up Buddy,Carl Smith,Billboard Top Country & Western Records of 1954,back up buddy,carl smith,Back Up Buddy,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1954,4,"Go, Boy Go",Carl Smith,Billboard Top Country & Western Records of 1954,go boy go,carl smith,"Go, Boy Go",id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1953,1,Hey Joe,Carl Smith,Billboard Top Country & Western Records of 1953,hey joe,carl smith,Hey Joe,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1959,19,It's All My Heartache,Carl Smith,1959 in country music,it s all my heartache,carl smith,It's All My Heartache,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1952,5,"It's a Lovely, Lovely World",Carl Smith,Billboard Top Country & Western Records of 1952,it s a lovely lovely world,carl smith,"It's a Lovely, Lovely World",id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1955,22,Kisses Never Lie,Carl Smith,Billboard Top Country & Western Records of 1955,kisses never lie,carl smith,Kisses Never Lie,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1951,1,Let Old Mother Nature Have Her Way,Carl Smith,Billboard Top Country & Western Records of 1951,let old mother nature have her way,carl smith,Let Old Mother Nature Have Her Way,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1952,1,Let Old Mother Nature Have Her Way,Carl Smith,Billboard Top Country & Western Records of 1952,let old mother nature have her way,carl smith,Let Old Mother Nature Have Her Way,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
1951,2,Let's Live a Little,Carl Smith,Billboard Top Country & Western Records of 1951,let s live a little,carl smith,Let's Live a Little,id:artist_000464,artist_000464,Carl Smith,existing_artist,carl smith
