wikidata_qid,birth_date,birth_place_raw,birth_country_raw,wd_birth_date,wd_birth_place_raw,wd_birth_country_raw
Q160636,,,,,,
Q173,,,,,,
Q104902684,,,,,,
Q105677119,,,,,,
Q126631,,,,,,
Q1297,,,,,,
Q137162902,,,,,,
Q15401689,,,,,,
Q1558,,,,,,
Q171004,,,,,,
Q175089,,,,,,
Q20065193,,,,,,
Q201996,,,,,,
Q6509272,,,,,,
Q1183999,,,,,,
Q107549374,,,,,,
Q135400652,,,,,,
Q124347099,,,,,,
Q26855331,,,,,,
Q27908754,,,,,,
Q6520578,,,,,,
Q1064920,,,,,,
Q1065070,,,,,,
Q108147050,,,,,,
Q108159363,,,,,,
Q108928921,,,,,,
Q110970438,,,,,,
Q11771069,,,,,,
Q11773198,,,,,,
Q11775342,,,,,,
Q11776213,,,,,,
Q11781295,,,,,,
Q124811071,,,,,,
Q131227406,,,,,,
Q1544864,,,,,,
Q15459518,,,,+1953-05-29T00:00:00Z,,
Q1557463,,,,,,
Q16210301,,,,,,
Q1677187,,,,,,
Q16882419,,,,,,
Q1700032,,,,,,
Q106631067,,,,,,
Q1272540,,,,,,
Q20815759,,,,,,
Q110080226,,,,+1904-01-01T00:00:00Z,,
Q112468950,,,,+1964-00-00T00:00:00Z,,
Q115294535,,,,+1890-01-01T00:00:00Z,,
Q116243911,,,,+1997-05-05T00:00:00Z,,
Q133462079,,,,+1888-00-00T00:00:00Z,,
Q21278780,,,,,,
Q24075525,,,,,,
Q22080338,,,,,,
Q134577204,,,,,,
Q131008267,,,,,,
Q20858359,,,,,,
Q16842928,,,,,,
Q115695601,,,,,,
Q20998375,,,,,,
Q1037729,,,,,,
Q537223,,,,,,
Q349592,,,,,,
Q7083856,,,,,,
Q1906137,,,,,,
Q7573964,,,,,,
Q2885136,,,,,,
Q907113,,,,,,
Q1219137,,,,,,
Q12707,,,,,,
Q1694155,,,,,,
Q2092297,,,,,,
Q1699853,,,,,,
Q372001,,,,,,
Q26905796,,,,,,
Q10297763,,,,,,
Q101985,,,,,,
Q104649159,,,,,,
Q1037153,,,,,,
Q1039023,,,,,,
Q104670580,,,,,,
Q106631,,,,,,
Q1060486,,,,,,
Q1072,,,,,,
Q10737,,,,,,
Q1079418,,,,,,
Q106643039,,,,,,
Q1093553,,,,,,
Q108934271,,,,,,
Q11002,,,,,,
Q111082,,,,,,
Q1100783,,,,,,
Q11190,,,,,,
Q1121708,,,,,,
Q1126462,,,,,,
Q11288132,,,,,,
Q111944107,,,,,,
Q113400462,,,,,,
Q1137210,,,,,,
Q1141780,,,,,,
Q115827652,,,,,,
Q116507375,,,,,,
Q116763756,,,,,,
Q116788577,,,,,,
Q11775995,,,,,,
Q1195321,,,,,,
Q1196857,,,,,,
Q1205472,,,,,,
Q1206818,,,,,,
Q1208247,,,,,,
Q12147,,,,,,
Q1217269,,,,,,
Q1217678,,,,,,
Q1226915,,,,,,
Q1247630,,,,,,
Q124857,,,,,,
Q12536994,,,,,,
Q125393969,,,,,,
Q125847,,,,,,
Q1269484,,,,,,
Q1271757,,,,,,
Q127666,,,,,,
Q12846123,,,,,,
Q12981765,,,,,,
Q1305729,,,,,,
Q1308100,,,,,,
Q131156,,,,,,
Q131610603,,,,,,
Q134747,,,,,,
Q135510287,,,,,,
Q135649450,,,,,,
Q135718122,,,,,,
Q1357701,,,,,,
Q1360787,,,,,,
Q138544892,,,,,,
Q14396124,,,,,,
Q14560,,,,,,
Q14946449,,,,,,
Q155431,,,,,,
Q1554556,,,,,,
Q155925,,,,,,
Q15663256,,,,,,
Q1569285,,,,,,
Q157811,,,,,,
Q15881089,,,,,,
Q15983979,,,,,,
Q1668595,,,,,,
Q16784653,,,,,,
Q16796018,,,,,,
Q16862144,,,,,,
Q16875535,,,,,,
Q16884547,,,,,,
Q16912404,,,,,,
Q169994,,,,,,
Q1707167,,,,,,
Q17096228,,,,,,
Q17096977,,,,,,
Q171277,,,,,,
Q17149603,,,,,,
Q17313889,,,,,,
Q180049,,,,,,
Q180750,,,,,,
Q18142389,,,,,,
Q1849048,,,,,,
Q185230,,,,,,
Q1871770,,,,,,
Q188863,,,,,,
Q1900699,,,,,,
Q190489,,,,,,
Q1907299,,,,,,
Q191368,,,,,,
Q192275,,,,,,
Q193823,,,,,,
Q194302,,,,,,
Q196939,,,,,,
Q198,,,,,,
Q20204151,,,,,,
Q203605,,,,,,
Q2037665,,,,,,
Q20815161,,,,,,
Q119730000,,,,,,
Q116886701,,,,,,
Q100742981,,,,,,
Q100889253,,,,,,
Q101409279,,,,,,
Q103330015,,,,,,
Q109914120,,,,,,
Q11185290,,,,,,
Q119671339,,,,,,
Q127752003,,,,,,
Q130295863,,,,,,
Q131373327,,,,,,
Q137677953,,,,,,
Q1660628,,,,,,
Q19016644,,,,,,
