song_name,artist_name,upload_year,complexity,repetition,harmonic_palette,structure_variation,playability,release_year,birth_year,billboard_country_year_end_flag,billboard_country_year_end_pos,artist_age_at_release,macro_region_clean,genre_clean,first_chord_group
Im Thinking Tonight Of My Blue Eyes,Eddy Arnold,2014,.2609756097560975,.951219512195122,.4,1,.7390243902439024,1947,1918,No,,29,Appalachia,country,F
Shine Hallelujah Shine,Bill Monroe,2022,.0235294117647058,.9411764705882352,.3,1.166666666666667,.976470588235294,1948,1911,No,,37,Appalachia,country,A
I Had A Little Mule,Bob Wills & His Texas Playboys,2021,.2419753086419753,.9506172839506172,.4,1.333333333333333,.7580246913580246,1948,1905,No,,43,South,country,D
I Wanna Go Home,Cam Wilson,2022,.316,.96,.4,1.5,.6839999999999999,1948,1984,No,,-36,West,country,OTHER
Echo Of Your Footsteps,Eddy Arnold,2019,.2666666666666666,.8888888888888888,.6,.8333333333333334,.7333333333333334,1948,1918,No,,30,Appalachia,country,C
Lets Say Goodbye Like We Said Hello,Ernest Tubb,2018,.1088607594936708,.9367088607594936,.5,.6666666666666666,.8911392405063291,1948,1992,No,,-44,Appalachia,country,D
Lost Highway,Hank Williams,2009,.019047619047619,.9523809523809524,.3,1,.9809523809523808,1948,1923,No,,25,South,country,D
Faith And Courage,Michael Beck,2025,.0166666666666666,.9583333333333334,.4,1,.9833333333333332,1948,1970,No,,-22,West,country,EM
Boll Weevil,Tex Ritter,2025,.0129032258064516,.967741935483871,.2,2,.9870967741935484,1948,1905,No,,43,South,country,G
I Made Linda Lovelace Gag,David Allan Coe,2007,.0272727272727272,.931818181818182,.3,0,.9727272727272728,1949,1939,No,,10,Midwest,country,G
Left Over Lovin,Eddie Noack,2023,.2714285714285714,.9285714285714286,.3,1,.7285714285714286,1949,1930,No,,19,South,country,OTHER
Love,Eddie Noack,2023,.367741935483871,.8064516129032258,.6,.6666666666666666,.632258064516129,1949,1930,No,,19,South,country,A
Prisoner Of War,Eddie Noack,2023,.2205128205128205,.8717948717948718,.5,.8333333333333334,.7794871794871795,1949,1930,No,,19,South,country,E
Shake Hands With The Blues,Eddie Noack,2023,.3214285714285714,.8928571428571429,.6,.8333333333333334,.6785714285714286,1949,1930,No,,19,South,country,G
Take It Away Lucky,Eddie Noack,2023,.2392156862745098,.9019607843137256,.5,1.166666666666667,.7607843137254902,1949,1930,No,,19,South,country,E
The Fall-Out Keeps On Hurting,Eddie Noack,2023,.2214285714285714,.9285714285714286,.4,.8333333333333334,.7785714285714286,1949,1930,No,,19,South,country,G
Think Of Her Now,Eddie Noack,2023,.1214285714285714,.8571428571428572,.4,1,.8785714285714286,1949,1930,No,,19,South,country,E
Two Brown Eyes,Eddie Noack,2024,.3348837209302325,.8604651162790697,.6,.8333333333333334,.6651162790697674,1949,1930,No,,19,South,country,A
We Are The Lonely Ones,Eddie Noack,2023,.2358974358974359,.8717948717948718,.5,1,.7641025641025641,1949,1930,No,,19,South,country,A
When The Bright Lights Grow Dim,Eddie Noack,2022,.2837837837837837,.9189189189189187,.6,1.333333333333333,.7162162162162162,1949,1930,No,,19,South,country,OTHER
Green Green,Eddy Arnold,2015,.1393258426966292,.9550561797752808,.4,.8333333333333334,.8606741573033708,1949,1918,No,,31,Appalachia,country,G
Im Throwing Rice,Eddy Arnold,2011,.3666666666666666,.8333333333333334,.6,.5,.6333333333333333,1949,1918,No,,31,Appalachia,country,G
Show Me The Way Back To Your Heart,Eddy Arnold,2015,.3914893617021276,.851063829787234,.7,0,.6085106382978723,1949,1918,No,,31,Appalachia,country,C
Theres No Wings On My Angel,Eddy Arnold,2014,.264,.88,.6,0,.736,1949,1918,No,,31,Appalachia,country,D
Will Santy Come To Shanty Town,Eddy Arnold,2015,.4,.8823529411764706,.4,0,.6,1949,1918,No,,31,Appalachia,country,OTHER
Im So Lonesome I Could Cry,Hank Williams,2011,.2628035197443264,.8534321740188687,.7999999999999999,.1111111111111111,.7371964802556735,1949,1923,No,,26,South,country,E
The River,Hank Williams Jr.,2023,.0303030303030303,.9242424242424242,.5,0,.9696969696969696,1949,1923,No,,26,South,country,OTHER
Tennessee Waltz,Pee Wee King,2017,.1434343434343434,.9292929292929292,.7,1,.8565656565656565,1949,1914,Yes,7,35,Midwest,country,G
Wait For The Light To Shine,Roy Acuff,2021,.0865671641791044,.9402985074626866,.4,.8333333333333334,.9134328358208956,1949,1903,No,,46,Appalachia,country,A
Drunkards Hell,The Stanley Brothers,2021,.0130434782608695,.9673913043478261,.3,1.166666666666667,.9869565217391304,1949,1945,No,,4,South,country,D
The Old Home,The Stanley Brothers,2020,.2181818181818181,.931818181818182,.3,.3333333333333333,.7818181818181819,1949,1945,No,,4,South,country,G
The Jolly Old Man In The Bright Red Suit,Vaughn Monroe And His Orchestra,2019,.0288659793814432,.9278350515463918,.7,1,.9711340206185568,1949,1911,No,,38,Midwest,country,D
Yes Mr Rogers,Bobby Bare,2022,.0766666666666666,.8833333333333333,.7,.5,.9233333333333332,1950,1935,No,,15,Midwest,country,C
Another Friday Night,Chris Knight,2011,.2,.5,.4,0,.8,1950,1960,No,,-10,Midwest,country,F
All Alone In This World Without You,Eddy Arnold,2015,.1714285714285714,.9387755102040816,.3,0,.8285714285714285,1950,1918,No,,32,Appalachia,country,C
Chained To A Memory,Eddy Arnold,2015,.2428571428571428,.9285714285714286,.4,.8333333333333334,.7571428571428571,1950,1918,No,,32,Appalachia,country,D
Did You See My Daddy Over There,Eddy Arnold,2015,.2470588235294117,.8941176470588236,.9,.8333333333333334,.7529411764705882,1950,1918,No,,32,Appalachia,country,F
Enclosed One Broken Heart,Eddy Arnold,2015,.2384615384615384,.9230769230769232,.2,.8333333333333334,.7615384615384615,1950,1918,Yes,6,32,Appalachia,country,C
It Makes No Difference Now,Eddy Arnold,2014,.0210526315789473,.9473684210526316,.3,1,.9789473684210528,1950,1918,No,,32,Appalachia,country,G
Little Angel With A Dirty Face,Eddy Arnold,2015,.1904761904761904,.9523809523809524,.3,1,.8095238095238095,1950,1918,No,,32,Appalachia,country,C
M-O-T-H-E-R,Eddy Arnold,2015,.3567567567567568,.7567567567567568,.9,0,.6432432432432432,1950,1918,No,,32,Appalachia,country,C
My Daddy Is Only A Picture,Eddy Arnold,2015,.3659574468085106,.851063829787234,.7,0,.6340425531914894,1950,1918,Yes,18,32,Appalachia,country,C
Give Me A Little Old Fashioned Love,Ernest Tubb,2016,.16875,.953125,.3,1.166666666666667,.83125,1950,1992,No,,-42,Appalachia,country,G
I Wanna Dance With You,George Strait,2017,.1413043478260869,.9565217391304348,.4,1,.8586956521739131,1950,1952,No,,-2,South,country,C
Somewhere Along Lifes Highway,Hank Snow,2022,.2677966101694915,.9152542372881356,.5,1,.7322033898305085,1950,1914,No,,36,Appalachia,country,D
Within This Broken Heart Of Mine,Hank Snow,2017,.0307692307692307,.9230769230769232,.4,.6666666666666666,.9692307692307692,1950,1914,No,,36,Appalachia,country,G
Help Me Understand,Hank Williams,2021,.1599999999999999,.9272727272727272,.4,.8333333333333334,.8400000000000001,1950,1923,No,,27,South,country,D
Nobodys Lonesome For Me,Hank Williams Jr.,2024,.2426229508196721,.8360655737704918,1,.6666666666666666,.7573770491803279,1950,1949,No,,1,South,country,E
Carefree Moments,Wilburn Brothers,2015,.1818181818181818,.9090909090909092,.3,0,.8181818181818181,1950,1954,No,,-4,South,country,C
On The Old Kentucky Shore,Bill Monroe,2022,.1111111111111111,.8888888888888888,.5,1.166666666666667,.8888888888888888,1951,1911,No,,40,Appalachia,country,F
River Of Death,Bill Monroe,2014,.05,.875,.3,0,.95,1951,1911,No,,40,Appalachia,country,D
Mister Moon,Carl Smith,2018,.232,.9,.5,.3333333333333333,.768,1951,1927,No,,24,Appalachia,country,C
Jambalaya On The Bayou,Conway Twitty,2023,.0275862068965517,.9310344827586208,.2,.8333333333333334,.9724137931034482,1951,1933,No,,18,South,country,D
Heart Strings,Eddy Arnold,2019,.2622222222222222,.8444444444444444,.7,.6666666666666666,.7377777777777779,1951,1918,Yes,5,33,Appalachia,country,D
Im Writing A Letter To The Lord,Eddy Arnold,2023,.1321428571428571,.9107142857142856,.5,.8333333333333334,.8678571428571429,1951,1918,No,,33,Appalachia,country,C
Something Old Something New,Eddy Arnold,2019,.2324324324324324,.9054054054054054,.7,1,.7675675675675675,1951,1918,Yes,4,33,Appalachia,country,A
What A Fool I Was,Eddy Arnold,2015,.1714285714285714,.9285714285714286,.3,0,.8285714285714285,1951,1918,Yes,12,33,Appalachia,country,C
Cold Cold Heart,Hank Williams,2009,.2538461538461538,.8846153846153846,.3,.8333333333333334,.7461538461538462,1951,1923,Yes,1,28,South,country,D
Ramblin Man,Hank Williams Jr.,2024,.1875,.90625,.3,1,.8125,1951,1949,No,,2,South,country,AM
Mom And Dads Waltz,Lefty Frizzell,2023,.2373333333333333,.9466666666666668,.4,.8333333333333334,.7626666666666666,1951,1928,No,,23,South,country,C
My Babys Just Like Money,Lefty Frizzell,2014,.2666666666666666,.8787878787878788,.4,0,.7333333333333334,1951,1928,No,,23,South,country,C
Shine Shave Shower Its Saturday,Lefty Frizzell,2021,.1056179775280898,.8539325842696629,1.3,1.833333333333333,.8943820224719101,1951,1928,No,,23,South,country,D
If Your Ever Lonely Darling,Ray Price,2017,.2592592592592592,.8518518518518519,.4,.3333333333333333,.7407407407407407,1951,1926,No,,25,South,country,C
The Weapon Of Prayer,The Louvin Brothers,2022,.0116504854368932,.970873786407767,.3,1.166666666666667,.9883495145631068,1951,1940,No,,11,South,country,A
Theyve Got The Church Outnumbered,The Louvin Brothers,2021,.1045454545454545,.9431818181818182,.5,1.666666666666667,.8954545454545455,1951,1940,No,,11,South,country,G
Im A Man Of Constant Sorrow,The Stanley Brothers,2021,.3226666666666666,.8933333333333333,.8,1.166666666666667,.6773333333333333,1951,1945,No,,6,South,country,A
Warm Beer And A Cold Cold Woman,The Willis Brothers,2024,.2805194805194805,.961038961038961,.3,1.333333333333333,.7194805194805195,1951,,No,,,South,country,G
Wondering,Webb Pierce,2020,.05,.875,.3,.5,.95,1951,1921,No,,30,South,country,D
Awake But Dreaming,Bob Wills & His Texas Playboys,2025,.2027397260273972,.821917808219178,1.3,.6666666666666666,.7972602739726027,1952,1905,No,,47,South,country,F
Dont Ever Take The Ribbons From Your Hair,Eddy Arnold,2015,.3540983606557377,.8524590163934427,.9,.8333333333333334,.6459016393442623,1952,1918,No,,34,Appalachia,country,C
Id Trade All Of My Tomorrows,Eddy Arnold,2015,.2208333333333333,.9166666666666666,.4,.8333333333333334,.7791666666666667,1952,1918,No,,34,Appalachia,country,G
Older And Bolder,Eddy Arnold,2015,.2484848484848484,.8787878787878788,.4,0,.7515151515151515,1952,1918,No,,34,Appalachia,country,C
The Night Before Christmas Song,Gene Autry,2024,.1540983606557377,.9098360655737704,1.1,.3333333333333333,.8459016393442623,1952,1907,No,,45,South,country,OTHER
I Wonder Where You Are Tonight,Hank Snow,2022,.2732394366197183,.9295774647887324,.5,1,.7267605633802816,1952,1914,No,,38,Appalachia,country,D
Moanin,Hank Snow,2021,.2710280373831775,.9252336448598132,.8,1.166666666666667,.7289719626168225,1952,1914,No,,38,Appalachia,country,G
My Little Golden Horseshoe,Hank Snow,2019,.32,.8461538461538461,1,.8333333333333334,.6799999999999999,1952,1914,No,,38,Appalachia,country,G
On That Old Hawaiian Shore With You,Hank Snow,2022,.1784615384615384,.9230769230769232,.5,1,.8215384615384616,1952,1914,No,,38,Appalachia,country,G
Singing The Blues,Hank Snow,2022,.2025641025641025,.935897435897436,.5,1,.7974358974358975,1952,1914,No,,38,Appalachia,country,A
Jambalaya,Hank Williams,2014,.3025641025641025,.9743589743589745,.2,.8333333333333334,.6974358974358974,1952,1923,Yes,1,29,South,country,C
Settin The Woods On Fire,Hank Williams,2009,.0629629629629629,.925925925925926,.4,0,.937037037037037,1952,1923,No,,29,South,country,G
One Has My Name,Jimmy Wakely,2017,.3517241379310344,.7931034482758621,.6,0,.6482758620689655,1952,1914,Yes,2,38,South,country,C
One Has My Name The Other Has My Heart,Jimmy Wakely,2017,.3054545454545454,.8909090909090909,.6,.8333333333333334,.6945454545454546,1952,1914,Yes,13,38,South,country,A
Youre Just Mine But Only In My Dreams,Lefty Frizzell,2021,.2746987951807229,.927710843373494,.6,.8333333333333334,.7253012048192771,1952,1928,No,,24,South,country,F
Do You Live What You Preach,The Louvin Brothers,2021,.0166666666666666,.9583333333333334,.4,1.166666666666667,.9833333333333332,1952,1940,No,,12,South,country,F
Ill Always Take Care Of You,Webb Pierce,2015,.2171428571428571,.8857142857142857,.4,0,.7828571428571429,1952,1921,No,,31,South,country,C
New San Antonio Rose,Bob Wills & His Texas Playboys,2001,.3719298245614035,.8070175438596492,1.1,0,.6280701754385964,1953,1905,No,,48,South,country,BB
There She Goes,Carl Smith,2016,.24375,.8125,.6,.6666666666666666,.75625,1953,1927,Yes,15,26,Appalachia,country,D
This Orchid Means Goodbye,Carl Smith,2018,.1999999999999999,.9090909090909092,.3,.5,.8,1953,1927,Yes,4,26,Appalachia,country,C
Angry,Eddy Arnold,2021,.3670588235294117,.8588235294117648,1.2,.8333333333333334,.6329411764705882,1953,1918,No,,35,Appalachia,country,G
Bundle Of Southern Sunshine,Eddy Arnold,2012,.5574468085106382,.851063829787234,.7,1,.4425531914893618,1953,1918,Yes,4,35,Appalachia,country,OTHER
Free Home Demonstration,Eddy Arnold,2019,.09,.925,.6,1,.91,1953,1918,Yes,4,35,Appalachia,country,D
I Really Dont Want To Know,Eddy Arnold,2015,.2769230769230769,.8461538461538461,.6,0,.7230769230769231,1953,1918,No,,35,Appalachia,country,C
Mama Come Get Your Baby Boy,Eddy Arnold,2015,.2038461538461538,.9230769230769232,.4,0,.7961538461538462,1953,1918,No,,35,Appalachia,country,C
When Your Hair Has Turned To Silver,Eddy Arnold,2022,.2313725490196078,.803921568627451,1,.6666666666666666,.7686274509803922,1953,1918,No,,35,Appalachia,country,C
My Wasted Past,Ernest Tubb,2024,.0999999999999999,.9193548387096774,.5,.8333333333333334,.9,1953,1992,No,,-39,Appalachia,country,A
Between Fire And Water,Hank Snow,2015,.2666666666666666,.8787878787878788,.4,0,.7333333333333334,1953,1914,No,,39,Appalachia,country,C
Honeymoon On A Rocket Ship,Hank Snow,2022,.0204081632653061,.9489795918367347,.5,1.166666666666667,.979591836734694,1953,1914,No,,39,Appalachia,country,D
I Dont Hurt Anymore,Hank Snow,2003,.1525867315885575,.8627510651247718,.55,.5833333333333333,.8474132684114425,1953,1914,No,,39,Appalachia,country,A
In Daddys Footsteps,Hank Snow,2022,.3043478260869565,.8913043478260869,.5,.6666666666666666,.6956521739130435,1953,1914,No,,39,Appalachia,country,G
Setting The Woods On Fire,Hank Williams,2018,.07,.9,.6,1.5,.93,1953,1923,No,,30,South,country,G
Your Cheatin Heart,Hank Williams,2013,.0875,.875,.4,0,.9125,1953,1923,No,,30,South,country,G
The Mansion You Stole,Johnny Horton,2015,.0352941176470588,.9117647058823528,.3,0,.9647058823529412,1953,1925,No,,28,West,country,D
Im Walking The Dog,Webb Pierce,2021,.2111111111111111,.8888888888888888,.4,.5,.7888888888888889,1953,1921,No,,32,South,country,G
White House Blues,Bill Monroe,2020,.048,.88,.3,0,.952,1954,1911,No,,43,Appalachia,country,G
You Cant Get A Man With A Gun,Dorothy Shay,2017,.3452631578947368,.8315789473684211,1.6,.5,.6547368421052632,1954,1921,No,,33,South,country,OTHER
The Touch Of Gods Hand,Eddy Arnold,2022,.2051282051282051,.9102564102564102,.7,.3333333333333333,.7948717948717949,1954,1918,No,,36,Appalachia,country,C
This Is The Thanks I Get,Eddy Arnold,2015,.296551724137931,.8275862068965517,.5,0,.703448275862069,1954,1918,Yes,3,36,Appalachia,country,C
Twas The Dawn Of A Beautiful Day,Eddy Arnold,2022,.2425,.9,.8,.5,.7575,1954,1918,No,,36,Appalachia,country,G
Uranium Fever,Elton Britt,2015,.2476190476190475,.9523809523809524,.5,0,.7523809523809524,1954,1913,No,,41,South,country,C
Uranium Fever,Elton Britt,2015,.2476190476190476,.9523809523809523,.5,0,.7523809523809524,1954,1913,No,,41,South,country,C
Roly Poly,Gene Autry,2017,.0417910447761194,.8955223880597015,.7,1,.9582089552238806,1954,1907,No,,47,South,country,C
Tagging Along,George Jones,2017,.2378378378378378,.8918918918918919,.4,0,.7621621621621621,1954,1931,No,,23,South,country,G
Im Glad To See You Once Again,Hank Snow,2022,.2212765957446808,.8936170212765957,.5,.8333333333333334,.7787234042553192,1954,1914,No,,40,Appalachia,country,A
The Angel Of Death,Hank Williams,2009,.1846153846153846,.8846153846153846,.3,0,.8153846153846154,1954,1923,No,,31,South,country,E
Wont Be Home No More,Hank Williams,2019,.2727272727272727,.8636363636363636,.3,.1666666666666666,.7272727272727273,1954,1923,No,,31,South,country,E
How Do You Think I Feel,Jimmie Rodgers Snow,2022,.3169811320754717,.8867924528301887,.6,1,.6830188679245284,1954,1897,No,,57,South,country,OTHER
Big Rock Candy Mountain,Johnny Cash,2017,.2666666666666666,.9166666666666666,.3,.3333333333333333,.7333333333333334,1954,1932,No,,22,South,country,C
Move Down The Line,Johnny Horton,2020,.1723076923076923,.9384615384615383,.4,.8333333333333334,.8276923076923077,1954,1925,No,,29,West,country,D
No True Love,Johnny Horton,2024,.2975,.9125,.7,1.333333333333333,.7025,1954,1925,No,,29,West,country,F
Companys Comin,Porter Wagoner,2025,.2269230769230769,.9230769230769232,.4,.6666666666666666,.7730769230769231,1954,1927,No,,27,Midwest,country,C
Knock On Wood,Sylvia Fine,2023,.5563636363636364,.7,3.3,.5,.4436363636363636,1954,1956,No,,-2,Midwest,country,OTHER
In The Jailhouse Now,Webb Pierce,2019,.1842105263157894,.8947368421052632,.4,.8333333333333334,.8157894736842105,1954,1921,Yes,1,33,South,country,E
Thats Me With-Out You,Webb Pierce,2018,.0390243902439024,.902439024390244,.4,0,.9609756097560976,1954,1921,No,,33,South,country,D
Let The Light Shine Down On Me,Bill Monroe,2022,.0162162162162162,.9594594594594594,.3,1.166666666666667,.9837837837837836,1955,1911,No,,44,Appalachia,country,D
Works Of The Lord,Carl Smith,2022,.137037037037037,.9074074074074074,.5,.6666666666666666,.8629629629629629,1955,1927,No,,28,Appalachia,country,C
Does He Mean That Much To You,Eddy Arnold,2021,.1518518518518518,.8703703703703703,.7,.6666666666666666,.8481481481481481,1955,1918,No,,37,Appalachia,country,C
It Took A Miracle,Eddy Arnold,2015,.3259259259259259,.8518518518518519,.8,.6666666666666666,.674074074074074,1955,1918,No,,37,Appalachia,country,C
Ive Been Thinking,Eddy Arnold,2019,.32,.85,.9,.8333333333333334,.6799999999999999,1955,1918,No,,37,Appalachia,country,G
Me Too,Eddy Arnold,2015,.2171428571428571,.8857142857142857,.4,0,.7828571428571429,1955,1918,No,,37,Appalachia,country,G
Now And Then Theres A Fool Such As I,Eddy Arnold,2022,.1929824561403508,.8596491228070176,.8,.6666666666666666,.8070175438596492,1955,1918,No,,37,Appalachia,country,G
Tears Broke Out On Me,Eddy Arnold,2015,.2709677419354838,.9032258064516128,.3,0,.7290322580645161,1955,1918,No,,37,Appalachia,country,C
Will The Circle Be Unbroken,Eddy Arnold,2015,.2844444444444444,.8888888888888888,.5,0,.7155555555555555,1955,1918,No,,37,Appalachia,country,G
You Cant Be True Dear,Eddy Arnold,2022,.2842105263157894,.8421052631578947,.9,.5,.7157894736842105,1955,1918,No,,37,Appalachia,country,G
Broken Hearted Melody,Glen Campbell,2016,.0422535211267605,.9154929577464788,.6,0,.9577464788732396,1955,1936,No,,19,South,country,G
A Scale To Measure Love,Hank Snow,2022,.3063829787234042,.8723404255319149,.6,.8333333333333334,.6936170212765957,1955,1914,No,,41,Appalachia,country,G
Blossoms In The Springtime,Hank Snow,2015,.24,.88,.3,0,.76,1955,1914,No,,41,Appalachia,country,G
Alone And Forsaken,Hank Williams,2009,.0432432432432432,.8918918918918919,.4,.6666666666666666,.9567567567567568,1955,1923,No,,32,South,country,AM
Be Careful Of Stones That You Throw,Hank Williams,2021,.1807692307692307,.9230769230769232,.4,.6666666666666666,.8192307692307692,1955,1923,No,,32,South,country,C
Beyond The Sunset,Hank Williams,2019,.098876404494382,.9550561797752808,.4,.8333333333333334,.901123595505618,1955,1923,No,,32,South,country,C
Everythings Okay,Hank Williams,2014,.187012987012987,.961038961038961,.3,0,.812987012987013,1955,1923,No,,32,South,country,G
I Dreamed About Mama Last Night,Hank Williams,2009,.1909090909090909,.8636363636363636,.3,.1666666666666666,.8090909090909091,1955,1923,No,,32,South,country,G
Ive Been Down That Road Before,Hank Williams,2021,.0272727272727272,.931818181818182,.3,1.166666666666667,.9727272727272728,1955,1923,No,,32,South,country,G
Just Waitin,Hank Williams,2021,.149090909090909,.9272727272727272,.4,1,.8509090909090909,1955,1923,No,,32,South,country,G
Men With Broken Hearts,Hank Williams,2017,.2109090909090909,.9090909090909092,.5,.3333333333333333,.7890909090909091,1955,1923,No,,32,South,country,A
Pictures From Lifes Other Side,Hank Williams,2019,.155813953488372,.9418604651162792,.5,1.166666666666667,.844186046511628,1955,1923,No,,32,South,country,G
Too Many Parties And Too Many Pals,Hank Williams,2021,.468,.8200000000000001,.9,1.166666666666667,.532,1955,1923,No,,32,South,country,C
Hidin Out,Patsy Cline,2015,.3,.8125,.3,0,.7,1955,1932,No,,23,South,country,G
Honky Tonk Merry Go Round,Patsy Cline,2014,.0745098039215686,.9019607843137256,.5,0,.9254901960784314,1955,1932,No,,23,South,country,G
Turn The Cards Slowly,Patsy Cline,2015,.2444444444444444,.8888888888888888,.3,0,.7555555555555555,1955,1932,No,,23,South,country,G
Eat Drink And Be Merry,Porter Wagoner,2017,.0592592592592592,.8518518518518519,.4,.1666666666666666,.9407407407407408,1955,1927,Yes,12,28,Midwest,country,F
Lets Squiggle,Porter Wagoner,2015,.02,.95,.4,0,.98,1955,1927,No,,28,Midwest,country,C
I Cant Go Home Like This,Ray Price,2023,.2588235294117647,.8823529411764706,.4,0,.7411764705882353,1955,1926,No,,29,South,country,C
The Great Titanic,Roy Acuff,2017,.1859649122807017,.9298245614035088,.4,1,.8140350877192982,1955,1903,No,,52,Appalachia,country,A
The Precious Jewel,Roy Acuff,2014,.029090909090909,.9272727272727272,.4,.8333333333333334,.9709090909090908,1955,1903,No,,52,Appalachia,country,G
Ive Closed The Door,The Davis Sisters,2025,.0470588235294117,.8823529411764706,.4,.8333333333333334,.9529411764705882,1955,1945,No,,10,Unknown,country,G
Your Good For Nothing Heart,Webb Pierce,2022,.1666666666666666,.8958333333333334,.5,.6666666666666666,.8333333333333333,1955,1921,No,,34,South,country,D
Another Love Has Ended,Bobby Bare,2023,.4871794871794872,.6666666666666667,1.3,1,.5128205128205128,1956,1935,No,,21,Midwest,country,G
Jive After Five,Carl Perkins,2014,.0611111111111111,.8888888888888888,.4,0,.9388888888888888,1956,1932,No,,24,Appalachia,country,A
Pink Pedal-Pushers,Carl Perkins,2013,.025,.9375,.3,0,.975,1956,1932,Yes,17,24,Appalachia,country,A
Satisfaction Guaranteed,Carl Smith,2021,.0296296296296296,.925925925925926,.4,.8333333333333334,.9703703703703704,1956,1927,No,,29,Appalachia,country,D
The Blood That Stained The Old Rugged Cross,Carl Smith,2021,.192,.88,.3,.5,.8080000000000001,1956,1927,No,,29,Appalachia,country,C
On Top Of Old Smokey,Eddy Arnold,2015,.1764705882352941,.9117647058823528,.3,0,.8235294117647058,1956,1918,No,,38,Appalachia,country,C
Who At My Door Is Standing,Eddy Arnold,2017,.2208955223880597,.8955223880597015,.7,.8333333333333334,.7791044776119402,1956,1918,No,,38,Appalachia,country,E
A Rose And A Baby Ruth,George Hamilton IV,2016,.0866666666666666,.8833333333333333,.7,0,.9133333333333332,1956,1937,No,,19,South,country,A
Im Ragged But Im Right,George Jones,2020,.1833333333333333,.8666666666666667,.8,1,.8166666666666667,1956,1931,No,,25,South,country,G
Its Ok,George Jones,2021,.0782608695652173,.9130434782608696,.6,.8333333333333334,.9217391304347826,1956,1931,No,,25,South,country,D
Little Things,Glen Campbell,2015,.1259259259259259,.8518518518518519,.8,0,.874074074074074,1956,1936,No,,20,South,country,B
Bluebird Island,Hank Snow,2003,.217391304347826,.9130434782608696,.4,0,.7826086956521739,1956,1914,No,,42,Appalachia,country,C
Down The Trail Of Achin Hearts,Hank Snow,2021,.1694444444444444,.9305555555555556,.5,1,.8305555555555555,1956,1914,No,,42,Appalachia,country,A
Golden Rocket,Hank Snow,2003,.0133333333333333,.9666666666666668,.3,1.5,.9866666666666668,1956,1914,No,,42,Appalachia,country,E
Music Makin Mama From Memphis,Hank Snow,2022,.4526315789473684,.9473684210526316,.6,1.166666666666667,.5473684210526315,1956,1914,Yes,4,42,Appalachia,country,OTHER
The Gal Who Invented Kissing,Hank Snow,2015,.210204081632653,.9489795918367347,.5,1.333333333333333,.789795918367347,1956,1914,No,,42,Appalachia,country,A
Unwanted Sign Upon Your Heart,Hank Snow,2022,.0784810126582278,.9367088607594936,.5,1.333333333333333,.9215189873417722,1956,1914,No,,42,Appalachia,country,D
Girls In Disgrace,Jean Shepard,2015,.3314285714285714,.8571428571428572,.5,0,.6685714285714286,1956,1933,No,,23,South,country,C
